INDEX,Issuer Ticker,Name,Asset Class,Weight (%),Sector,Exchange,Location,Market Currency
SWDA,TEL,TE CONNECTIVITY LTD,Equity,0.09,Information Technology,New York Stock Exchange Inc.,United States,USD
SWDA,ALGN,ALIGN TECHNOLOGY INC,Equity,0.09,Health Care,NASDAQ,United States,USD
SWDA,PRU,PRUDENTIAL PLC,Equity,0.09,Financials,London Stock Exchange,United Kingdom,GBP
SWDA,CMG,CHIPOTLE MEXICAN GRILL INC,Equity,0.09,Consumer Discretionary,New York Stock Exchange Inc.,United States,USD
SWDA,7974,NINTENDO LTD,Equity,0.09,Communication,Tokyo Stock Exchange,Japan,JPY
SWDA,KLAC,KLA CORP,Equity,0.09,Information Technology,NASDAQ,United States,USD
SWDA,UBER,UBER TECHNOLOGIES INC,Equity,0.09,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,DSV,DSV PANALPINA,Equity,0.09,Industrials,Omx Nordic Exchange Copenhagen A/S,Denmark,DKK
SWDA,TWTR,TWITTER INC,Equity,0.09,Communication,New York Stock Exchange Inc.,United States,USD
SWDA,ADYEN,ADYEN NV,Equity,0.09,Information Technology,Euronext Amsterdam,Netherlands,EUR
SWDA,LHX,L3HARRIS TECHNOLOGIES INC,Equity,0.09,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,4502,TAKEDA PHARMACEUTICAL LTD,Equity,0.08,Health Care,Tokyo Stock Exchange,Japan,JPY
SWDA,7267,HONDA MOTOR LTD,Equity,0.08,Consumer Discretionary,Tokyo Stock Exchange,Japan,JPY
SWDA,SIKA,SIKA AG,Equity,0.08,Materials,SIX Swiss Exchange,Switzerland,CHF
SWDA,VRTX,VERTEX PHARMACEUTICALS INC,Equity,0.08,Health Care,NASDAQ,United States,USD
SWDA,A,AGILENT TECHNOLOGIES INC,Equity,0.08,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,ROP,ROPER TECHNOLOGIES INC,Equity,0.08,Industrials,New York Stock Exchange Inc.,United States,USD
