VOD.L;VODAFONE GROUP PLC;Communication;London Stock Exchange;United Kingdom;GBP
BARC.L;BARCLAYS PLC;Financials;London Stock Exchange;United Kingdom;GBP
SAF.PA;SAFRAN SA;Industrials;Nyse Euronext - Euronext Paris;France;EUR
CDNS;CADENCE DESIGN SYSTEMS INC;Information Technology;NASDAQ;United States;USD
PRU;PRUDENTIAL FINANCIAL INC;Financials;New York Stock Exchange Inc.;United States;USD
APH;AMPHENOL CORP CLASS A;Information Technology;New York Stock Exchange Inc.;United States;USD
AEP;AMERICAN ELECTRIC POWER INC;Utilities;NASDAQ;United States;USD
GIVN.SW;GIVAUDAN SA;Materials;SIX Swiss Exchange;Switzerland;CHF
WDAY;WORKDAY INC CLASS A;Information Technology;NASDAQ;United States;USD
CRWD;CROWDSTRIKE HOLDINGS INC CLASS A;Information Technology;NASDAQ;United States;USD
INVE-B.ST;INVESTOR CLASS B;Financials;Nasdaq Omx Nordic;Sweden;SEK
RMD;RESMED INC;Health Care;New York Stock Exchange Inc.;United States;USD
DFS;DISCOVER FINANCIAL SERVICES;Financials;New York Stock Exchange Inc.;United States;USD
VEEV;VEEVA SYSTEMS INC CLASS A;Health Care;New York Stock Exchange Inc.;United States;USD
FTNT;FORTINET INC;Information Technology;NASDAQ;United States;USD
ORLY;OREILLY AUTOMOTIVE INC;Consumer Discretionary;NASDAQ;United States;USD
D05.SI;DBS GROUP HOLDINGS LTD;Financials;Singapore Exchange;Singapore;SGD
CTSH;COGNIZANT TECHNOLOGY SOLUTIONS COR;Information Technology;NASDAQ;United States;USD
STLA.MI;STELLANTIS NV;Consumer Discretionary;Borsa Italiana;Italy;EUR
EA;ELECTRONIC ARTS INC;Communication;NASDAQ;United States;USD
YUM;YUM BRANDS INC;Consumer Discretionary;New York Stock Exchange Inc.;United States;USD
MUV2.DE;MUENCHENER RUECKVERSICHERUNGS-GESE;Financials;Xetra;Germany;EUR
CRG.IR;CRH PLC;Materials;Irish Stock Exchange - All Market;Ireland;EUR
PPG;PPG INDUSTRIES INC;Materials;New York Stock Exchange Inc.;United States;USD
SNPS;SYNOPSYS INC;Information Technology;NASDAQ;United States;USD
MSI;MOTOROLA SOLUTIONS INC;Information Technology;New York Stock Exchange Inc.;United States;USD
DLR;DIGITAL REALTY TRUST REIT INC;Real Estate;New York Stock Exchange Inc.;United States;USD
DD;DUPONT DE NEMOURS INC;Materials;New York Stock Exchange Inc.;United States;USD
ROKU;ROKU INC CLASS A;Communication;NASDAQ;United States;USD
PHIA.AS;KONINKLIJKE PHILIPS NV;Health Care;Euronext Amsterdam;Netherlands;EUR
